2025-10-23,22:36:33,MONITOR,CPU Usage: 13.3%, RAM Usage: 71.1%
2025-10-23,22:36:39,MONITOR,CPU Usage: 11.9%, RAM Usage: 71.7%
2025-10-23,22:36:45,MONITOR,CPU Usage: 19.1%, RAM Usage: 72.8%
2025-10-23,22:36:46,INPUT,User_Input_MenuChoice: b
2025-10-23,22:36:51,MONITOR,CPU Usage: 6.0%, RAM Usage: 71.8%
2025-10-23,22:36:56,INPUT,User_Input_MenuChoice: 2
2025-10-23,22:36:57,MONITOR,CPU Usage: 6.5%, RAM Usage: 71.6%
2025-10-23,22:37:03,MONITOR,CPU Usage: 3.8%, RAM Usage: 71.7%
2025-10-23,22:37:04,INPUT,User_Input_MenuChoice: 6
2025-10-23,22:37:09,MONITOR,CPU Usage: 4.2%, RAM Usage: 72.0%
2025-10-23,22:37:12,INPUT,User_Input_LogLines: A
2025-10-23,22:37:15,MONITOR,CPU Usage: 32.8%, RAM Usage: 70.9%
2025-10-23,22:37:21,MONITOR,CPU Usage: 31.3%, RAM Usage: 73.1%
2025-10-23,22:37:27,MONITOR,CPU Usage: 8.5%, RAM Usage: 72.3%
2025-10-23,22:37:33,MONITOR,CPU Usage: 3.2%, RAM Usage: 71.3%
2025-10-23,22:37:39,INPUT,User_Input_MenuChoice: 2
2025-10-23,22:37:39,MONITOR,CPU Usage: 8.5%, RAM Usage: 71.5%
2025-10-23,22:37:44,INPUT,User_Input_MenuChoice: 3
2025-10-23,22:37:45,MONITOR,CPU Usage: 8.5%, RAM Usage: 71.6%
2025-10-23,22:37:51,MONITOR,CPU Usage: 12.8%, RAM Usage: 71.7%
2025-10-23,22:37:56,INPUT,User_Input_AlarmType: 2
2025-10-23,22:37:57,MONITOR,CPU Usage: 7.0%, RAM Usage: 71.8%
2025-10-23,22:38:03,INPUT,User_Input_Threshold: 95
