2025-10-23,17:21:34,MONITOR,CPU Usage: 5.0%, RAM Usage: 75.2%
2025-10-23,17:21:40,MONITOR,CPU Usage: 26.1%, RAM Usage: 76.3%
2025-10-23,17:21:46,MONITOR,CPU Usage: 29.6%, RAM Usage: 75.9%
2025-10-23,17:21:52,MONITOR,CPU Usage: 12.7%, RAM Usage: 74.9%
2025-10-23,17:21:58,MONITOR,CPU Usage: 14.7%, RAM Usage: 74.5%
2025-10-23,17:22:04,MONITOR,CPU Usage: 27.5%, RAM Usage: 75.6%
2025-10-23,17:22:10,MONITOR,CPU Usage: 17.4%, RAM Usage: 74.5%
2025-10-23,17:22:16,MONITOR,CPU Usage: 6.3%, RAM Usage: 74.2%
2025-10-23,17:22:22,MONITOR,CPU Usage: 33.8%, RAM Usage: 74.0%
2025-10-23,17:22:28,MONITOR,CPU Usage: 9.0%, RAM Usage: 73.8%
2025-10-23,17:22:34,MONITOR,CPU Usage: 8.3%, RAM Usage: 73.2%
2025-10-23,17:22:40,MONITOR,CPU Usage: 7.2%, RAM Usage: 73.5%
2025-10-23,17:22:46,MONITOR,CPU Usage: 26.1%, RAM Usage: 73.7%
2025-10-23,17:22:52,MONITOR,CPU Usage: 6.8%, RAM Usage: 73.5%
2025-10-23,17:22:58,MONITOR,CPU Usage: 19.2%, RAM Usage: 72.8%
2025-10-23,17:23:04,MONITOR,CPU Usage: 18.3%, RAM Usage: 73.2%
2025-10-23,17:23:10,MONITOR,CPU Usage: 8.5%, RAM Usage: 72.6%
2025-10-23,17:23:16,MONITOR,CPU Usage: 8.2%, RAM Usage: 73.5%
2025-10-23,17:23:22,MONITOR,CPU Usage: 8.1%, RAM Usage: 72.7%
2025-10-23,17:23:28,MONITOR,CPU Usage: 8.5%, RAM Usage: 72.7%
2025-10-23,17:23:34,MONITOR,CPU Usage: 19.1%, RAM Usage: 72.3%
2025-10-23,17:23:40,MONITOR,CPU Usage: 8.5%, RAM Usage: 72.5%
2025-10-23,17:23:46,MONITOR,CPU Usage: 5.3%, RAM Usage: 72.9%
2025-10-23,17:23:52,MONITOR,CPU Usage: 16.2%, RAM Usage: 72.7%
2025-10-23,17:23:58,MONITOR,CPU Usage: 8.5%, RAM Usage: 72.1%
2025-10-23,17:24:04,MONITOR,CPU Usage: 23.8%, RAM Usage: 72.4%
2025-10-23,17:24:10,MONITOR,CPU Usage: 6.9%, RAM Usage: 72.7%
2025-10-23,17:24:16,MONITOR,CPU Usage: 6.5%, RAM Usage: 72.6%
2025-10-23,17:24:22,MONITOR,CPU Usage: 28.8%, RAM Usage: 72.3%
2025-10-23,17:24:28,MONITOR,CPU Usage: 8.0%, RAM Usage: 72.1%
2025-10-23,17:24:34,MONITOR,CPU Usage: 32.5%, RAM Usage: 72.8%
